VC name,VC linkedin
Abhay Parasnis,https://www.linkedin.com/in/abhayparasnis
Abstract Ventures,https://www.linkedin.com/company/abstract-ventures
Acadian Ventures,https://www.linkedin.com/company/acadianventures
Access Venture Partners,http://www.linkedin.com/company/access-venture-partners
Accord Ventures,https://linkedin.com/company/accord-asset-partners
Adam Gross,http://www.linkedin.com/in/adamcgross
Adam Lyons,http://www.linkedin.com/in/lyonsadam
Adam Wexler,http://www.linkedin.com/in/adamwexler
Aegis Ventues,https://www.linkedin.com/company/89284213/admin/feed/posts/
Aero X Ventures,https://www.linkedin.com/company/aero-x-ventures
Afore Capital,https://www.linkedin.com/company/aforecapital
AfterWork Ventures,https://www.linkedin.com/company/afterwork-ventures
AgFunder,http://www.linkedin.com/company/agfunder
Agilent Ventures,https://linkedin.com/company/agilent-technologies
Aglaé Ventures,https://www.linkedin.com/company/agla%C3%A9-ventures/
Ahmed Yousaf,https://linkedin.com/company/no-house-adv
Aipollo Investment,https://www.linkedin.com/company/aipollo-investment
Airtree Ventures,https://www.linkedin.com/company/airtree-ventures
Ajay Malik,https://www.linkedin.com/in/artofai
Alacrity Canada,https://www.linkedin.com/company/the-alacrity-foundation/
Alan Rogers,https://linkedin.com/company/alan-rogers-travel-group
Alana Aha,https://www.linkedin.com/in/alanaaharonov
Alaris Capital,https://linkedin.com/company/alaris-cap
Alchemist Accelerator,https://www.linkedin.com/company/alchemist-accelerator
Alchemy,https://www.linkedin.com/company/alchemyinc
Alchemy Ventures,https://in.linkedin.com/company/alchemy-ventures-pty-ltd
Aleksander Larson,https://linkedin.com/company/alex-larson-nutrition-llc
Alex Connolly,https://www.linkedin.com/in/alex-connolly/
Alexander Fenech,https://www.linkedin.com/in/alexander-fenech-27a15713/?originalSubdomain=mt
Ali Moiz,http://www.linkedin.com/in/alimoiz
All In Capital,https://www.linkedin.com/company/all-india-capital
All Star SAAS Fund,https://www.linkedin.com/company/all-star-saas-fund
Allen Day,http://sg.linkedin.com/in/allenday
AlleyCorp,https://www.linkedin.com/company/alleycorp
Alliance DAO,https://www.linkedin.com/company/alliancedao/
Allianz,https://www.linkedin.com/company/allianz/
AloqaVentures,https://linkedin.com/company/aloqaventures
Alpha Gaps,https://www.linkedin.com/company/alpha-gaps/
Alpha Intelligence Capital,https://www.linkedin.com/company/alpha-intelligence-capital/
Alpha Transform Holdings,https://linkedin.com/company/alphatransform
AltaIR Capital,https://www.linkedin.com/company/9291712?trk=tyah&trkInfo=idx%3A1-2-2%2CtarId%3A1423597457926%2Ctas%3Aaltair+capital+manag
Altai Ventures,https://linkedin.com/company/altai-ventures
Alumni Ventures,https://www.linkedin.com/company/alumniventures
Amanda Lannert,https://www.linkedin.com/in/amandalannert
Amar Hanspal,https://www.linkedin.com/in/amarhanspal
Amazon Industrial Innovation Fund,https://linkedin.com/company/linear-venture
Amber Group,http://www.linkedin.com/company/amberbtc
Amel Najjar,https://www.linkedin.com/in/amel-najjar-a2b44328/
American Family Ventures,https://www.linkedin.com/company/american-family-insurance
Amino Capital,https://www.linkedin.com/company/aminocapital
Amit Agarwal,https://www.linkedin.com/in/amitto
Anatoly Yakovenko,https://www.linkedin.com/in/anatoly-yakovenko/
Anbessa ‏‏‎ ‎‏‏‎ ‎,https://linkedin.com/company/anbessa-mundus
Andreas Michaelides,https://www.linkedin.com/in/andreas-michaelides-phd/
Andreessen Horowitz,https://www.linkedin.com/company/a16z
Andrei Avsievich,https://www.linkedin.com/in/avsievich/
Andrew Hong,https://linkedin.com/company/ascentium-llc
Andrew Macdonald,https://www.linkedin.com/in/andrewmacdonald6/
Andrew Wilkinson,https://www.linkedin.com/in/awilkinson
Andy Konwinski,https://www.linkedin.com/in/andykon
AngelHub VC,https://www.linkedin.com/company/angelhubvc
Anglet,https://www.linkedin.com/company/helloanglet/
Anicut Capital,https://www.linkedin.com/company/anicut-capital-llp/
Animal Spirits Ltd.,https://www.linkedin.com/company/animalspirits/
Animoca Brands,https://www.linkedin.com/company/animoca-brands
Animoca Ventures,https://www.linkedin.com/company/animoca-ventures/
Anne Bueltel,https://www.linkedin.com/in/anne-lorenzo-413518121/
Anonymous Investor,https://linkedin.com/company/game-cloud-44
Anonymous angel investor 1,https://linkedin.com/company/game-cloud-44
Anorak Ventures,https://www.linkedin.com/company/anorak-ventures
Another Brain,https://linkedin.com/company/another-brain/
Anshul Dhir,https://www.linkedin.com/in/anshuldhir30
Anthemis,http://www.linkedin.com/company/anthemis-group-sa
Anthony Lacavera,https://www.linkedin.com/in/anthonylacavera/
Antler,https://www.linkedin.com/company/antlerglobal
Anu Hariharan,https://www.linkedin.com/in/anuhariharan
Apicap,https://www.linkedin.com/company/otc-asset-management/
AppWorks,http://www.linkedin.com/company/appworks-ventures
Appreciate Capital,https://www.linkedin.com/company/appreciate-capital/?viewAsMember=true
Aquiline Capital Partners,https://www.linkedin.com/company/aquiline-capital-partners/
Arash Ferdowsi,http://www.linkedin.com/in/arashferdowsi
Arca,https://www.linkedin.com/company/arcafinance/
Arcanys Ventures,https://www.linkedin.com/company/arcanys-ventures/?originalSubdomain=ch
Arch Capital Group,https://www.linkedin.com/company/acgl
Archana Puri,https://linkedin.com/company/darzi-on-call-services-private-limited
Archangel Ventures,https://www.linkedin.com/company/archangel-ventures/
Archetype,https://www.linkedin.com/company/archetypevc/
Archetype Ventures,https://www.linkedin.com/company/archetype-ventures/
Argon Ventures,https://www.linkedin.com/company/argonvc/
Arka Venture Labs,https://www.linkedin.com/company/arka-venture-labs/?viewAsMember=true
Artem Sergeev,https://linkedin.com/company/in-the-black-media-agency
Artesian VC,http://www.linkedin.com/company/72613
Artha Venture Fund,https://www.linkedin.com/company/arthaventurefund/
Asahi Media Lab Ventures,https://linkedin.com/company/appgrooves
Asani Swann,https://www.linkedin.com/in/asaniswann/
Ascend,https://www.linkedin.com/company/ascend-venture-capital/about/
Ascend Angels,https://linkedin.com/company/ascend-angels
Ascend Venture Capital,https://www.linkedin.com/company/ascend-vc/
Ascendo Ventures,https://www.linkedin.com/company/13639056/
Ash Crypto,https://linkedin.com/company/ash-phoenix
Asha Jadeja,https://www.linkedin.com/in/ashaj1
Aspen Digital,https://www.linkedin.com/company/aspendigitalco/
Asymmetric Capital Partners,https://www.linkedin.com/company/asymmetric-capital-partners
Atinum Partners,https://www.linkedin.com/company/atinum-investment
Atlanta Ventures,http://www.linkedin.com/company/atlanta-ventures
Atlassian Ventures,https://linkedin.com/company/atlassian
Audacious Ventures,https://www.linkedin.com/company/audaciousventures
Aurelia Foundry,https://www.linkedin.com/company/aureliainstitute/
Austen Allred,http://www.linkedin.com/in/austenallred
Austin Group,https://www.linkedin.com/company/austin-group
Austin Ogilvie,http://www.linkedin.com/in/austinogilvie
Avalanche VC,https://www.linkedin.com/company/avalanche-vc/
Avichal Garg,http://www.linkedin.com/in/avichalgarg
Aviram Jenik,http://www.linkedin.com/in/aviramjenik
Aviv Ben Menachem,https://www.linkedin.com/in/aviv-ben-menachem-306402126
BACKED VC,https://www.linkedin.com/company/backed-vc
BDC Venture Capital,https://www.linkedin.com/company/bdc/
BDev Ventures,https://www.linkedin.com/company/bdevventures/
BEENEXT,https://www.linkedin.com/company/beenext-pte--ltd
BITKRAFT Ventures,https://www.linkedin.com/company/bitkraft-holding
BSCStation,https://www.linkedin.com/company/bscsfinance/
BackFuture,https://www.linkedin.com/company/backfuture/
Background Capital,https://www.linkedin.com/company/background-capital/
Backstage Capital,https://www.linkedin.com/company/15232925/
Bain Capital Ventures,https://www.linkedin.com/company/bain-capital-ventures
Balaji Srinivasan,https://www.linkedin.com/in/balajissrinivasan
Banana Capital,https://www.linkedin.com/company/banana-capital/
Banking Youth Startup Foundation,https://linkedin.com/company/future-founders
Bankless Ventures,https://www.linkedin.com/company/bankless-vc/
Barclays,https://www.linkedin.com/company/barclays-bank
Base Ecosystem Fund,https://linkedin.com/company/g8keep
Base10 Partners,https://www.linkedin.com/company/base10-partners
Basecamp Fund,https://www.linkedin.com/company/basecamp-fund/
Basement DAO,https://linkedin.com/company/the-basement-farm
Basis Set Ventures,https://www.linkedin.com/company/basis-set-ventures/
Bass Investment,https://www.linkedin.com/company/bass-investment
Batuhan Dasgin,https://www.linkedin.com/in/batux
Be Human Capital,https://www.linkedin.com/company/behumancapital/
BeHigh Investment,https://linkedin.com/company/behigh-consulting
Bee Partners,https://www.linkedin.com/company/beepartnersvc
Benn Stancil,https://www.linkedin.com/in/benn-stancil-a97a1037/
Berkeley SkyDeck Fund,https://linkedin.com/company/skydeck-berkeley
Bessemer Venture Partners,https://www.linkedin.com/company/bessemer-venture-partners
Beta Boom,https://www.linkedin.com/company/betaboom/
Beyond Next Ventures,https://www.linkedin.com/company/beyond-next-ventures/
Bharat Founders Fund,https://www.linkedin.com/company/investopad
Bharat Krymo,https://linkedin.com/company/krptcom
Bienville Capital,https://www.linkedin.com/company/bienville-capital-management
Big Basin Capital,https://www.linkedin.com/company/big-basin-capital
Big Brain Holdings,https://www.linkedin.com/company/big-brain-holdings/
Bigbang Angels,https://www.linkedin.com/company/27108575/
Bill Clerico,http://www.linkedin.com/in/billclerico
Bill Ready,https://linkedin.com/company/williamready
Billy Graves,https://linkedin.com/company/volta-energy
Binance,https://www.linkedin.com/company/binance
Binance Labs,https://www.linkedin.com/company/binancelabs
Binary Builders,https://www.linkedin.com/company/binary-builders/
Bing Ventures,https://www.linkedin.com/company/bing-ventures/
Binny Bansal,http://www.linkedin.com/in/binnybansal
BitScale Capital,https://linkedin.com/company/bitscalebuilt
BitValue Capital,https://linkedin.com/company/iostproject
Bitmain,https://www.linkedin.com/company/bitmain/
Bixin Ventures,https://www.linkedin.com/company/bixin-ventures/
Black Ambition,https://www.linkedin.com/company/black-ambition/
Black Nova Venture Capital,https://www.linkedin.com/company/black-nova-vc/
Blackbird Ventures,http://www.linkedin.com/company/blackbird-ventures
Blank Ventures,https://www.linkedin.com/company/blankventures/
Blissgrowth,https://www.linkedin.com/company/blissgrowth/
Blockchain Builders Fund,https://www.linkedin.com/company/blockchainbuilders/
Blockchain Capital,https://www.linkedin.com/company/crypto-currency-partners-lp
Blockchain Founders Fund,https://www.linkedin.com/company/blockchainfoundersfund
Blockchain.com,http://www.linkedin.com/company/blockchain
Blu Venture Investors,https://www.linkedin.com/company/bluventures
Blue Equity,https://www.linkedin.com/company/blue-equity-llc/
Blue Lion Global,https://www.linkedin.com/company/bluelionglobal/
BlueWing Ventures,https://linkedin.com/company/bluewing-ventures
Bluenode Capital,https://linkedin.com/company/bluenodeparis/
Bluepoint Partners,https://www.linkedin.com/company/bluepoint-partners
Bluespout LLC,https://www.linkedin.com/company/bluespout-llc
Blume Ventures,http://www.linkedin.com/company/blume-venture-advisors
Boab AI,https://www.linkedin.com/company/boabai/
Bobby Lo,http://www.linkedin.com/in/bobbylo
BoldCap,https://www.linkedin.com/company/boldcap
BonAngels Venture Partners,https://www.linkedin.com/company-beta/10695836/
Bond Capital,https://www.linkedin.com/company/bond-capital
Bonfire Ventures,https://www.linkedin.com/company/bonfireventures/
BootstrapLabs,https://www.linkedin.com/company/bootstraplabs
Borderless Capital,https://www.linkedin.com/company/borderlesscapital/
Boreal Ventures,https://www.linkedin.com/company/borealvc/
Bored Chili,https://linkedin.com/company/boredandhungry
Boutique Venture Partners,https://www.linkedin.com/company/boutique-venture-partners/
Bowery Capital,http://www.linkedin.com/company/bowery-capital
BoxGroup,https://www.linkedin.com/company/boxgroup
BoxOne Ventures,https://www.linkedin.com/company/boxoneventures/
Bpifrance,http://www.linkedin.com/company/bpifrance
Bradley Horowitz,http://www.linkedin.com/in/bradleyhorowitz
Brain-Too-Free Ventures,https://www.linkedin.com/company/braintoofree/
Brand Foundry Ventures,http://www.linkedin.com/company/brand-foundry-ventures
Bravva Angels,https://www.linkedin.com/company/bravva-angels/
Bread and Butter Ventures,https://www.linkedin.com/company/bread-and-butter-ventures
Breakers,https://www.linkedin.com/company/breakersvc/
Breakthrough Victoria,https://www.linkedin.com/company/breakthrough-victoria
Breed VC,https://www.linkedin.com/company/breed-vc/about/
BreederDAO,https://www.linkedin.com/company/breederdao/
Brian Neer,https://www.linkedin.com/in/brian-neer-4a2b4810/
Brickyard,https://www.linkedin.com/company/justlaybrick
Bright Minds Capital Partners,https://www.linkedin.com/company/bright-minds-capital-partners
Brisbane Angels,https://www.linkedin.com/company/brisbaneangelsgrouplimited/
British International Investment,https://www.linkedin.com/company/british-international-investment/
Broad Street Angels,https://www.linkedin.com/company/broad-street-angels
Broadshade Investments,https://www.linkedin.com/company/broadshade-investments
Broderick Sim,https://linkedin.com/company/sim-women-colorado
BrokerTech Ventures,https://www.linkedin.com/company/brokertech-ventures/
Brotherhood Ventures,https://linkedin.com/company/brotherhood-ventures
Bryan Goldberg,https://www.linkedin.com/in/goldbergbryan
Bryan Pellegrino,https://www.linkedin.com/in/bryanpellegrino/
Buckley Ventures,https://www.linkedin.com/company/buckleyventures/
Build Ventures,https://www.linkedin.com/company/9285769?trk=tyah&trkInfo=clickedVertical%3Acompany%2CclickedEntityId%3A9285769%2Cidx%3A1-1-1%2CtarId%3A1440803060017%2Ctas%3ABuild%20Ventures
Burnt Island Ventures,https://www.linkedin.com/company/burnt-island-ventures
Burst Capital,https://www.linkedin.com/company/burstcapital
Byld Ventures,https://uk.linkedin.com/company/byld-ventures
Byucksan,https://www.linkedin.com/company/byucksan-corporation
CJ Investment,https://www.linkedin.com/company/cj-investment-inc/
CKB Ecosystem Fund,https://linkedin.com/company/nervos
CKC Capital,https://linkedin.com/company/ckccapital
CL 207,https://linkedin.com/company/cl-auto-group-ca
CMCC Global,https://www.linkedin.com/company/cm-crypto-capital/about/
CMS Holdings,https://www.linkedin.com/compaany/cms-holdings-llc/about/
CNTTECH,https://www.linkedin.com/company/cnttech/
Cadenza Ventures,https://www.linkedin.com/company/cadenza-vc
Caesar Sengupta,https://www.linkedin.com/in/caesar-sengupta
Caffeinated Capital,https://www.linkedin.com/company/caffeinated-capital/
Caladan,https://www.linkedin.com/company/caladanxyz
Calculus Capital,https://www.linkedin.com/company/3079586
Calvin Liu,https://www.linkedin.com/in/calvinliu
Cambrian Ventures,https://www.linkedin.com/company/cambrianhq/
Cambridge Innovation Capital,https://www.linkedin.com/company/cambridge-innovation-capital
Cameron Adams,http://www.linkedin.com/in/themaninblue
Campus des Technologies de la Santé/CTS Healthcare,https://www.linkedin.com/company/cts-healthcare-campus-des-technologies-de-la-sant-/
Canadian International Angel Investors,https://linkedin.com/company/angelinvestorsontario
Candaq Fintech Group,https://www.linkedin.com/company/candaq/
Canonical Crypto,https://www.linkedin.com/company/canonicalcrypto/
Cantos,https://www.linkedin.com/company/cantos-ventures
Cap Table Coalition,https://www.linkedin.com/company/cap-table-coalition/
CapeVista Capital,https://linkedin.com/company/leap-forward-ventures
Capital Code,https://www.linkedin.com/company/capitalcode/
Capital Factory,http://www.linkedin.com/company/capital-factory
Capital Q® Ventures Inc.,https://www.linkedin.com/company/capital-q-ventures
CapitalX,http://www.linkedin.com/company/capitalx-vc
Capstone Partners,https://www.linkedin.com/company/capstone-partners-co-ltd/about/
Carmelo Anthony,https://linkedin.com/company/hispanicheritage
Carnegie Mellon University,https://www.linkedin.com/school/carnegie-mellon-university
Carthona Capital,http://www.linkedin.com/company/3659659
Cartography Cap,https://www.linkedin.com/company/cartography-cap/
Carya Venture Partners,https://www.linkedin.com/company/carya-venture-partners/
Casey Caruso,https://www.linkedin.com/in/casey-k-caruso/
Cashwalk,https://linkedin.com/company/national-cash-systems
Caydan Capital Partners,https://www.linkedin.com/company/caydan-capital-partners/
Cem Ozer,https://www.linkedin.com/in/cemozer
Cerigo Investments,https://linkedin.com/company/capl
Chad Sanderson,https://www.linkedin.com/in/chad-sanderson
Chamaeleon,https://www.linkedin.com/company/chamaeleonvc
Charge Ventures,https://www.linkedin.com/company/charge-ventures
Charter School Growth Fund,https://www.linkedin.com/company/charter-school-growth-fund/
Chaucer,https://www.linkedin.com/company/chaucer
Cherubic Ventures,https://www.linkedin.com/company/cherubic-ventures
Chiedo John,https://linkedin.com/company/rocktowncap
Chiratae Ventures,https://www.linkedin.com/company/idg-ventures
Chorus One,https://www.linkedin.com/company/chorus-one/
Chris Anderson,https://www.linkedin.com/in/chris-anderson-3b2a05bb/
Chris Cable,https://www.linkedin.com/in/mrchriscable/
Chris Kalani,https://linkedin.com/in/chriskalani
Chris LeDoux,https://www.linkedin.com/in/ledoux
Chris Prucha,https://www.linkedin.com/in/christopherprucha
Chris Riccomini,https://www.linkedin.com/in/riccomini/
Chrysalix Venture Capital,https://www.linkedin.com/company/851941?trk=tyah&trkInfo=clickedVertical%3Acompany%2Cidx%3A1-1-1%2CtarId%3A1432748436825%2Ctas%3Achrysalix%20energy
Circle Ventures,https://www.linkedin.com/company/circle-internet-financial
City Light Capital,http://www.linkedin.com/company/city-light-capital
Clean Energy Venture Group,https://www.linkedin.com/company/clean-energy-venture-group/
Climate Capital,https://www.linkedin.com/company/climatecap/
Climate Capital Bio,https://www.linkedin.com/company/climatecap
Climate Insiders,https://www.linkedin.com/company/climate-insiders/about/
Clocktower Technology Ventures,https://www.linkedin.com/company/clocktower-technology-ventures
CoVentures,https://linkedin.com/company/coventure
Coatue,https://www.linkedin.com/company/coatue-management
Coconala Skill Partners,https://www.linkedin.com/company/coconala
Cogitent Ventures,https://www.linkedin.com/company/cogitent-ventures/
Coho Deeptech,https://www.linkedin.com/company/cohovc/
CoinFund,https://www.linkedin.com/company/coinfund
Coinbase Ventures,https://www.linkedin.com/company/coinbase
Cointelegraph,https://www.linkedin.com/company/cointelegraph
Coinvestor Ventures,https://www.linkedin.com/company/coinvestor-ventures
Colabora Ventures,https://www.linkedin.com/company/colaboravc
Colin Armstrong,https://linkedin.com/company/colin-armstrong-architects-ltd
Collaborative Fund,https://www.linkedin.com/company/collaborative-fund/
Combo startup studio,https://linkedin.com/company/comboapp
Comcast NBCUniversal SportsTech,https://www.linkedin.com/showcase/comcast-sports-tech/
Comeback Capital,https://www.linkedin.com/company/comebackcapital/
Comma Capital,https://www.linkedin.com/company/comma-capital
Comma3 Ventures,https://www.linkedin.com/company/comma3ventures/
Commerce Ventures,http://www.linkedin.com/company/commerce-ventures
Communitas Capital Partners,https://www.linkedin.com/company/communitas-capital-partners-llc
Compa Capital,https://www.linkedin.com/company/compacap
Company K Partners,https://www.linkedin.com/company/company-k-partners/
Company Ventures,https://www.linkedin.com/company/wearecompany/
Companyon Ventures,https://www.linkedin.com/company/companyonvc/
Compute Ventures,https://www.linkedin.com/company/compute-ventures/
Connecticut Innovations,http://www.linkedin.com/company/67435
Connetic Ventures,https://www.linkedin.com/company/connetic-ventures
ConsenSys,https://www.linkedin.com/company/consensys-software-inc
Construct Capital,https://www.linkedin.com/company/constructcap
Contango Digital Assets,https://www.linkedin.com/company/contango-digital-assets/
Continue Capital,https://www.linkedin.com/company/continue-capital
Converge,https://www.linkedin.com/company/converge_vc/
CoreNest Capital,https://www.linkedin.com/company/corenestvc
Correlation Ventures,https://www.linkedin.com/company/1417265
Corridor Ventures,https://www.linkedin.com/company/corridorvc/
Courtyard Ventures,https://www.linkedin.com/company/courtyard-ventures
Cowtown Angels,https://www.linkedin.com/company/cowtown-angels
Craig Aman,https://linkedin.com/company/md-solutions-international-mdsi-
Craig Fuller,https://www.linkedin.com/in/incab
Cree Banreservas,https://linkedin.com/company/banreservasrd
Crew Capital,https://www.linkedin.com/company/crewvc/
Cris Genovese,https://www.linkedin.com/in/cris-genovese
Crosslink Capital,http://www.linkedin.com/company/crosslink-capital
Crush Ventures,https://www.linkedin.com/company/crush-music/
Crypto.com Capital,https://www.linkedin.com/company/cryptocom
Curiosity VC,https://www.linkedin.com/company/curiosityvc/
Curql,https://www.linkedin.com/company/curql/
Cyber Club London,https://www.linkedin.com/company/cyber-club-london
Cyber Mentor Fund,https://www.linkedin.com/company/cyber-mentor-fund
CyberAgent Capital,https://www.linkedin.com/company/cyberagent-capital-inc
Cycle Momentum,https://www.linkedin.com/company/cyclemomentum/
Cygames capital,https://linkedin.com/company/cygames
Cypher Capital,https://www.linkedin.com/company/cypher-capital-llc/about/
Cypress Growth Capital,https://www.linkedin.com/company/cypress-growth-capital-llc
C² Ventures,https://www.linkedin.com/company/csquaredvc
D3 Jubilee,https://www.linkedin.com/company/d3jubilee-partners
D64 Ventures,https://linkedin.com/company/d4ventures
DBA,https://www.linkedin.com/company/dba-crypto/
DCF GOD,https://linkedin.com/company/detroit-children%27s-fund
DG Incubation,https://www.linkedin.com/company/dg-incubation-inc-/
DGB Daegu Bank,https://linkedin.com/company/dgbbankcambodia
DHVC,https://www.linkedin.com/company/dhvc-paloalto/about/
DNX Ventures,https://www.linkedin.com/company/dnxventures/
DOMiNO Ventures,https://www.linkedin.com/company/domino-vc
DRK Lab,https://www.linkedin.com/company/drklab
DSC Investment,https://www.linkedin.com/company/dscinvestment/
DSW Ventures,https://www.linkedin.com/company/dsw-ventures
DVC,https://www.linkedin.com/company/davidovs-vc/
DWF Labs,https://www.linkedin.com/company/82082012/
Dacha Ventures,https://www.linkedin.com/company/dacha-ventures
Daedalus Angel Syndicate,https://www.linkedin.com/company/daedalus-angels
Dale Hardcastle,https://www.linkedin.com/in/dale-hardcastle-bain/?original_referer=https%3A%2F%2Fwww%2Egoogle%2Ecom%2F&originalSubdomain=sg
Dan Black,https://linkedin.com/company/costsegregationservicesinc
Dan Mgbor,https://www.linkedin.com/in/danmgbor/
Dan Offner,https://www.linkedin.com/in/danoffner/
Danal,http://www.linkedin.com/company/1063726
Danen Capital,https://www.linkedin.com/company/danen-capital
Daniel Gross,https://linkedin.com/company/law-office-of-daniel-a.-gross-pllc
Daniel Stefanic,https://www.linkedin.com/in/danielstefanic/
Darae Strategic Commercialization Center,https://linkedin.com/company/dare-innovations
Darryl Wang,https://www.linkedin.com/in/darryl-wang-096326104/
Dash Fund,https://www.linkedin.com/company/dashfund/
Dasung Ventures,https://linkedin.com/company/samsung-venture-investment-america
DataPower Ventures,https://www.linkedin.com/company/datapower-ventures
Databricks Ventures,https://www.linkedin.com/company/databricks
Daughters Capital,https://www.linkedin.com/company/daughterscapital
Dave Nemetz,http://www.linkedin.com/in/davenemetz
David David,https://www.linkedin.com/in/drod729
David Petersen,https://www.linkedin.com/in/davidcpetersen
David Southon,https://linkedin.com/company/aliro-group
Davidovs Venture Collective,https://www.linkedin.com/company/davidovs-vc
Daydaycook,https://www.linkedin.com/company/daydaycook/
DeFi Dad,https://linkedin.com/company/contango-protocol
DeSpread,https://www.linkedin.com/company/despread-creative
DeVC India,https://www.linkedin.com/company/devc-india
Dean Eigenmann,https://www.linkedin.com/in/deaneigenmann/
Debiopharm Innovation Fund,https://www.linkedin.com/company/debiopharminternational
Deborah Quazzo,https://www.linkedin.com/in/deborah-quazzo-1343554
Decacorn Capital,https://www.linkedin.com/company/decacorn-capital/?originalSubdomain=sg
Decibel Partners,https://www.linkedin.com/company/decibelvc
Dedaub,https://www.linkedin.com/company/dedaub
Deepak Chhugani,https://www.linkedin.com/in/deepakchhugani
Defi Squared,https://linkedin.com/company/squaredlabs
Definancex,https://www.linkedin.com/company/definancex/
Defy.vc,https://www.linkedin.com/company/defy-vc
Delight Ventures,https://www.linkedin.com/company/delight-ventures/
Delphi Ventures,https://www.linkedin.com/company/delphiventures/
Delta Blockchain Fund,https://www.linkedin.com/company/delta-blockchain-fund/
Detroit Venture Partners,https://www.linkedin.com/company/detroit-venture-partners
Developer Capital,https://www.linkedin.com/company/developer-capital/
Devmons,https://linkedin.com/company/devmoms
Dewhales Capital,https://www.linkedin.com/company/dewhalescapital/
Dhani Jones,https://www.linkedin.com/in/dhani-jones-29b58617/
Diagram Ventures,https://www.linkedin.com/company/diagram-ventures
Diane Wolfenden,https://www.linkedin.com/in/dianewolfenden/?originalSubdomain=ca
Diaspora Ventures,https://www.linkedin.com/company/diasporavc/
Digital Asset Capital Management,https://www.linkedin.com/company/digital-asset-fund/about/
Digital Currency Group,https://www.linkedin.com/company/digital-currency-group
Digital Finance Group (DFG),https://www.linkedin.com/company/dfg-digital-finance-group
Digital Health Ventures,https://www.linkedin.com/company/dhv---digital-health-ventures
Digital Healthcare Partners,https://www.linkedin.com/company/dhpartners/
Diniz Holding,https://linkedin.com/company/diniz-holding
